FALSE,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,not clear,FALSE,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19
gemini,0.05,0.03,0.02,0.25,0.09,0.16,0.11,0.06,0.09,0.13,0.14,0.05,0.17,0.2,0.13,0.05,0.2,0.09,,,,,,,,,,,,,,,,,,,,,
gpt,0.02,0.02,0.02,0.19,0.03,0.06,0.05,0.06,0.05,0.05,0.08,0.05,0.08,0.06,0.08,0.05,0.08,0.09,,,,,,,,,,,,,,,,,,,,,
mistral,0.02,0.02,0.14,0.14,0.05,0.11,0.14,0.06,0.06,0.13,0.08,0.05,0.08,0.11,0.2,0.05,0.14,0.09,,,,,,,,,,,,,,,,,,,,,
average,0.03,0.02,0.06,0.19,0.06,0.11,0.1,0.06,0.07,0.1,0.1,0.05,0.11,0.13,0.14,0.05,0.14,0.09,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"True,FALSE",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,user,"True,FALSE",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19
gemini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
gpt,0.06,0.16,0.08,0.05,0.05,0.16,0.2,0.03,0.05,0.27,0.11,0.03,0.02,0.06,0.16,0.19,0.19,0.08,,,,,,,,,,,,,,,,,,,,,
mistral,0.14,0.42,0.19,0.36,0.41,0.27,0.19,0.11,0.17,0.17,0.23,0.22,0.11,0.19,0.27,0.45,0.27,0.06,,,,,,,,,,,,,,,,,,,,,
average,0.07,0.19,0.09,0.14,0.15,0.14,0.13,0.05,0.07,0.15,0.11,0.08,0.04,0.08,0.14,0.21,0.15,0.05,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"True,True,False,False",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,not clear,"True,True,False,False",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19
gemini,0.06,0.31,0.2,0,0.03,0.16,0.23,0.73,0.36,0.41,0.19,0,0.09,0.11,0.09,0.19,0.36,0.08,,,,,,,,,,,,,,,,,,,,,
gpt,0.08,0.09,0.17,0.02,0.03,0.11,0.33,0.61,0.34,0.22,0.13,0.02,0.06,0.02,0.09,0.08,0.31,0.06,,,,,,,,,,,,,,,,,,,,,
mistral,0.06,0.22,0.13,0,0.02,0.14,0.44,0.75,0.31,0.34,0.13,0.02,0.13,0.11,0.2,0.14,0.5,0.2,,,,,,,,,,,,,,,,,,,,,
average,0.07,0.21,0.17,0.01,0.03,0.14,0.33,0.7,0.34,0.32,0.15,0.01,0.09,0.08,0.13,0.14,0.39,0.11,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"True,True,False,True",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,user,"True,True,False,True",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19
gemini,0.09,0.23,0.08,0.09,0.03,0.16,0.22,0.02,0.02,0.09,0,0.05,0.61,0.06,0.11,0.06,0.27,0.19,,,,,,,,,,,,,,,,,,,,,
gpt,0.19,0.28,0.05,0.08,0.02,0.2,0.2,0.06,0.05,0.03,0,0.05,0.77,0.16,0.03,0.05,0.23,0.13,,,,,,,,,,,,,,,,,,,,,
mistral,0.08,0.05,0,0.02,0.08,0,0.03,0.02,0,0.02,0,0.05,0.58,0.05,0.02,0.02,0.05,0.11,,,,,,,,,,,,,,,,,,,,,
average,0.12,0.19,0.04,0.06,0.04,0.12,0.15,0.03,0.02,0.05,0,0.05,0.65,0.09,0.05,0.04,0.18,0.14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"True,True,True,False",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,agent,"True,True,True,False",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19
gemini,0.08,0.39,0.63,0.02,0,0.44,0.36,0,0.52,0.25,0.64,0,0.02,0.23,0.06,0.13,0.16,0.11,,,,,,,,,,,,,,,,,,,,,
gpt,0.02,0,0.23,0.02,0.03,0.36,0.19,0.2,0.41,0.38,0.66,0,0,0.17,0.05,0.03,0.11,0.08,,,,,,,,,,,,,,,,,,,,,
mistral,0.19,0.27,0.5,0,0.14,0.47,0.2,0.06,0.45,0.3,0.56,0.36,0.08,0.39,0.25,0.31,0.05,0.22,,,,,,,,,,,,,,,,,,,,,
average,0.09,0.22,0.45,0.01,0.06,0.42,0.25,0.09,0.46,0.31,0.62,0.12,0.03,0.27,0.12,0.16,0.1,0.14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"True,True,True,True",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,correct,"True,True,True,True",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19
gemini,0.72,0.03,0.08,0.64,0.84,0.09,0.08,0.19,0.02,0.13,0.03,0.91,0.11,0.39,0.61,0.58,0.02,0.53,,,,,,,,,,,,,,,,,,,,,
gpt,0.64,0.45,0.45,0.66,0.84,0.11,0.03,0.03,0.11,0.06,0.03,0.86,0.08,0.53,0.59,0.61,0.08,0.56,,,,,,,,,,,,,,,,,,,,,
mistral,0.52,0.03,0.05,0.48,0.31,0.02,0,0,0,0.05,0,0.31,0.03,0.16,0.06,0.03,0,0.31,,,,,,,,,,,,,,,,,,,,,
average,0.63,0.17,0.19,0.59,0.67,0.07,0.04,0.07,0.04,0.08,0.02,0.69,0.07,0.36,0.42,0.41,0.03,0.47,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19
not clear,FALSE,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,not clear,0.03,0.02,0.06,0.19,0.06,0.11,0.1,0.06,0.07,0.1,0.1,0.05,0.11,0.13,0.14,0.05,0.14,0.09
user,"True,FALSE",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,user,0.07,0.19,0.09,0.14,0.15,0.14,0.13,0.05,0.07,0.15,0.11,0.08,0.04,0.08,0.14,0.21,0.15,0.05
not clear,"True,True,False,False",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,not clear,0.07,0.21,0.17,0.01,0.03,0.14,0.33,0.7,0.34,0.32,0.15,0.01,0.09,0.08,0.13,0.14,0.39,0.11
user,"True,True,False,True",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,user,0.12,0.19,0.04,0.06,0.04,0.12,0.15,0.03,0.02,0.05,0,0.05,0.65,0.09,0.05,0.04,0.18,0.14
agent,"True,True,True,False",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,agent,0.09,0.22,0.45,0.01,0.06,0.42,0.25,0.09,0.46,0.31,0.62,0.12,0.03,0.27,0.12,0.16,0.1,0.14
correct,"True,True,True,True",AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8.1,AP8.2,AP9,AP10,AP13,AP14,AP15,AP16,AP17,AP18,AP19,,correct,0.63,0.17,0.19,0.59,0.67,0.07,0.04,0.07,0.04,0.08,0.02,0.69,0.07,0.36,0.42,0.41,0.03,0.47
,,correct,not clear,agent,correct,,,,,,,,,,,,,,,,,correct,not clear,agent,correct,correct,agent,not clear,not clear,agent,not clear,agent,correct,user,correct,correct,correct,not clear,correct
,,,,,,,,,,,,,,,,,,,,,,,agent,,,,pattern ambiguity,pattern ambiguity,user and agent,,user,,,,,,,user,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,not clear,"AP6,AP7,AP8.1",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,user,"AP9,AP14,AP18",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,agent,"AP2,AP3,AP8.2, AP10",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,correct,"AP1,AP4,AP5,AP13,15,16,17,19",,,,,,,,,,,,,,,,,
