,1,gemini,,,1,gpt,,,1,count
0,AP18.csv,1,,0,AP18.csv,1,,0,AP18.csv,1
1, ,1,,1, ,1,,1, ,1
2,False,7,,2,False,7,,2,False,7
3,"True,True,False,True",32,,3,"True,True,True,False",5,,3,"True,True,False,False",37
4,"True,True,True,True",11,,4,"True,True,False,False",21,,4,"True,True,False,True",16
5,"True,True,False,False",12,,5,"True,True,False,True",23,,5,"True,True,True,True",1
6,"True,True,True,False",2,,6,"True,True,True,True",8,,6,"True,True,True,False",3
7,AP10.csv,1,,7,AP10.csv,1,,7,AP10.csv,1
8, ,1,,8, ,1,,8, ,1
9,False,5,,9,False,6,,9,False,8
10,"True,True,True,True",20,,10,"True,True,True,False",50,,10,"True,True,True,False",43
11,"True,True,True,False",28,,11,"True,True,False,False",6,,11,"True,True,False,False",11
12,"True,True,False,False",7,,12,"True,True,True,True",2,,12,"True,True,True,True",2
13,"True,True,False,True",4,,13,AP17.csv,1,,13,AP17.csv,1
14,AP17.csv,1,,14, ,1,,14, ,1
15, ,1,,15,False,3,,15,False,6
16,False,3,,16,"True,True,True,True",47,,16,"True,True,True,True",43
17,"True,True,True,False",13,,17,"True,True,False,False",10,,17,"True,True,False,True",9
18,"True,True,False,False",10,,18,"True,True,False,True",3,,18,"True,True,False,False",4
19,"True,True,True,True",32,,19,"True,True,True,False",1,,19,"True,True,True,False",2
20,"True,True,False,True",6,,20,AP5.csv,1,,20,AP5.csv,1
21,AP5.csv,1,,21, ,1,,21, ,1
22, ,1,,22,False,2,,22,False,6
23,False,6,,23,"True,True,True,True",57,,23,"True,True,True,True",51
24,"True,True,True,True",48,,24,"True,True,False,False",1,,24,"True,True,False,False",1
25,"True,True,False,True",4,,25,"True,True,False,True",4,,25,"True,True,False,True",4
26,"True,True,False,False",2,,26,AP7.csv,1,,26,"True,True,True,False",2
27,"True,True,True,False",4,,27, ,1,,27,AP7.csv,1
28,AP7.csv,1,,28,False,4,,28, ,1
29, ,1,,29,"True,True,True,False",20,,29,False,8
30,False,10,,30,"True,True,False,True",17,,30,"True,True,True,False",18
31,"True,True,True,True",4,,31,"True,True,False,False",18,,31,"True,True,False,False",29
32,"True,True,False,True",23,,32,"True,True,True,True",5,,32,"True,True,False,True",6
33,"True,True,False,False",15,,33,AP2.csv,1,,33,"True,True,True,True",3
34,"True,True,True,False",12,,34, ,1,,34,AP2.csv,1
35,AP2.csv,1,,35,False,2,,35, ,1
36, ,1,,36,"True,True,True,True",37,,36,False,2
37,False,2,,37,"True,True,False,False",5,,37,"True,True,True,False",13
38,"True,True,True,True",26,,38,"True,True,True,False",2,,38,"True,True,False,False",19
39,"True,True,False,True",8,,39,"True,True,False,True",18,,39,"True,True,False,True",19
40,"True,True,False,False",11,,40,AP14.csv,1,,40,"True,True,True,True",11
41,"True,True,True,False",17,,41, ,1,,41,AP14.csv,1
42,AP14.csv,1,,42,False,5,,42, ,1
43, ,1,,43,"True,True,False,False",3,,43,False,5
44,False,5,,44,"True,True,False,True",48,,44,"True,True,False,False",7
45,"True,True,False,False",10,,45,"True,True,True,True",8,,45,"True,True,False,True",46
46,"True,True,False,True",41,,46,AP6.csv,1,,46,"True,True,True,True",1
47,"True,True,True,True",7,,47, ,1,,47,"True,True,True,False",5
48,"True,True,True,False",1,,48,False,3,,48,AP6.csv,1
49,AP6.csv,1,,49,"True,True,True,False",23,,49, ,1
50, ,1,,50,"True,True,True,True",13,,50,False,5
51,False,10,,51,"True,True,False,False",8,,51,"True,True,True,False",43
52,"True,True,True,True",12,,52,"True,True,False,True",17,,52,"True,True,False,True",3
53,"True,True,False,True",15,,53,AP15.csv,1,,53,"True,True,False,False",10
54,"True,True,True,False",18,,54, ,1,,54,"True,True,True,True",3
55,"True,True,False,False",9,,55,False,5,,55,AP15.csv,1
56,AP15.csv,1,,56,"True,True,True,True",42,,56, ,1
57, ,1,,57,"True,True,True,False",6,,57,False,6
58,False,5,,58,"True,True,False,True",9,,58,"True,True,True,True",39
59,"True,True,True,True",45,,59,"True,True,False,False",2,,59,"True,True,False,False",9
60,"True,True,False,True",9,,60,AP16.csv,1,,60,"True,True,False,True",5
61,"True,True,False,False",1,,61, ,1,,61,"True,True,True,False",5
62,"True,True,True,False",4,,62,False,5,,62,AP16.csv,1
63,AP16.csv,1,,63,"True,True,True,True",39,,63, ,1
64, ,1,,64,"True,True,True,False",5,,64,False,11
65,False,6,,65,"True,True,False,False",11,,65,"True,True,True,True",24
66,"True,True,True,True",33,,66,"True,True,False,True",4,,66,"True,True,False,False",16
67,"True,True,True,False",13,,67,AP3.csv,1,,67,"True,True,True,False",4
68,"True,True,False,False",8,,68, ,1,,68,"True,True,False,True",9
69,"True,True,False,True",4,,69,False,1,,69,AP3.csv,1
70,AP3.csv,1,,70,"True,True,True,True",21,,70, ,1
71, ,1,,71,"True,True,False,False",13,,71,False,3
72,False,4,,72,"True,True,True,False",24,,72,"True,True,True,True",27
73,"True,True,True,False",12,,73,"True,True,False,True",5,,73,"True,True,False,True",6
74,"True,True,False,False",8,,74,AP8.1.csv,1,,74,"True,True,False,False",12
75,"True,True,True,True",34,,75, ,1,,75,"True,True,True,False",16
76,"True,True,False,True",6,,76,False,4,,76,AP8.1.csv,1
77,AP8.1.csv,1,,77,"True,True,True,False",18,,77, ,1
78, ,1,,78,"True,True,False,False",37,,78,False,3
79,False,5,,79,"True,True,False,True",2,,79,"True,True,True,False",10
80,"True,True,True,False",17,,80,"True,True,True,True",3,,80,"True,True,False,False",49
81,"True,True,False,True",12,,81,AP8.2.csv,1,,81,"True,True,True,True",1
82,"True,True,True,True",6,,82, ,1,,82,"True,True,False,True",1
83,"True,True,False,False",24,,83,False,3,,83,AP8.2.csv,1
84,AP8.2.csv,1,,84,"True,True,True,False",33,,84, ,1
85, ,1,,85,"True,True,False,False",25,,85,False,6
86,False,3,,86,"True,True,False,True",2,,86,"True,True,True,False",40
87,"True,True,True,False",36,,87,"True,True,True,True",1,,87,"True,True,False,False",16
88,"True,True,False,False",12,,88,AP9.csv,1,,88,"True,True,True,True",2
89,"True,True,True,True",8,,89, ,1,,89,AP9.csv,1
90,"True,True,False,True",5,,90,False,4,,90, ,1
91,AP9.csv,1,,91,"True,True,True,True",8,,91,False,4
92, ,1,,92,"True,True,True,False",24,,92,"True,True,True,False",23
93,False,7,,93,"True,True,False,False",26,,93,"True,True,False,False",23
94,"True,True,True,True",25,,94,"True,True,False,True",2,,94,"True,True,False,True",2
95,"True,True,False,False",16,,95,AP19.csv,1,,95,"True,True,True,True",12
96,"True,True,True,False",9,,96, ,1,,96,AP19.csv,1
97,"True,True,False,True",7,,97,False,5,,97, ,1
98,AP19.csv,1,,98,"True,True,True,True",41,,98,False,7
99, ,1,,99,"True,True,False,False",9,,99,"True,True,True,True",33
100,False,5,,100,"True,True,False,True",8,,100,"True,True,False,False",8
101,"True,True,True,False",6,,101,"True,True,True,False",1,,101,"True,True,False,True",9
102,"True,True,False,False",5,,102,AP13.csv,1,,102,"True,True,True,False",7
103,"True,True,False,True",7,,103, ,1,,103,AP13.csv,1
104,"True,True,True,True",41,,104,False,3,,104, ,1
105,AP13.csv,1,,105,"True,True,True,True",58,,105,False,4
106, ,1,,106,"True,True,False,True",3,,106,"True,True,True,True",58
107,False,3,,107,AP1.csv,1,,107,"True,True,False,True",2
108,"True,True,True,True",57,,108, ,1,,108,AP1.csv,1
109,"True,True,False,True",3,,109,False,1,,109, ,1
110,"True,True,True,False",1,,110,"True,True,False,False",7,,110,False,3
111,AP1.csv,1,,111,"True,True,True,True",51,,111,"True,True,False,False",4
112, ,1,,112,"True,True,False,True",5,,112,"True,True,True,True",48
113,False,1,,113,AP4.csv,1,,113,"True,True,False,True",6
114,"True,True,False,False",2,,114, ,1,,114,"True,True,True,False",3
115,"True,True,True,True",50,,115,False,14,,115,AP4.csv,1
116,"True,True,False,True",8,,116,"True,True,True,True",44,,116, ,1
117,"True,True,True,False",3,,117,"True,True,False,True",6,,117,False,21
118,AP4.csv,1,,,,,,118,"True,True,True,True",37
119, ,1,,,,,,119,"True,True,True,False",1
120,False,13,,,,,,120,"True,True,False,True",5
121,"True,True,True,True",47,,,,,,,,
122,"True,True,False,True",3,,,,,,,,
123,"True,True,False,False",1,,,,,,,,
